,t,true_cdf_0.3,Standard_beran_cdf_0.3,LogisticRegression_cdf_0.3,Standard_beran_mise_0.3,LogisticRegression_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,LogisticRegression_cdf_0.5,Standard_beran_mise_0.5,LogisticRegression_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,LogisticRegression_cdf_0.7,Standard_beran_mise_0.7,LogisticRegression_mise_0.7
37,0.922222071401716,0.541501976284585,0.9228641953447031,0.9349944919529081,0.18606910529083603,0.16219544875014327,0.541501976284585,0.5462741155226054,0.549945154086423,0.0004523832624457818,0.00038432977983968815,0.541501976284585,0.5462741155226054,0.549945154086423,0.0004523832624457818,0.00038432977983968815
38,0.9716936520919959,0.5731225296442688,0.9228641953447031,0.9349944919529081,0.16295119589129284,0.138310405968263,0.5731225296442688,0.5823806253784074,0.5737459648895625,0.0004723721933430701,0.00032455927053508433,0.5731225296442688,0.5823806253784074,0.5737459648895625,0.0004723721933430701,0.00032455927053508433
39,1.0211652327822758,0.6007905138339921,0.9228641953447031,0.9349944919529081,0.14436341948624143,0.11905138785366665,0.6007905138339921,0.6121936183772623,0.598377677451483,0.0004615654363407043,0.0003878546411709053,0.6007905138339921,0.6121936183772623,0.598377677451483,0.0004615654363407043,0.0003878546411709053
40,1.0706368134725557,0.6383399209486166,0.9971739716418788,0.999991408667079,0.1288337538634628,0.13079179921734255,0.6383399209486166,0.6504630225128318,0.6258940225515353,0.0005286950262900333,0.000571138319210327,0.6383399209486166,0.6504630225128318,0.6258940225515353,0.0005286950262900333,0.000571138319210327
41,1.1201083941628356,0.6640316205533597,0.9971739716418788,0.999991408667079,0.11105570401531417,0.11286897987778051,0.6640316205533597,0.6730066952849457,0.6440016068095635,0.000548279779007491,0.0008312700398344156,0.6640316205533597,0.6730066952849457,0.6440016068095635,0.000548279779007491,0.0008312700398344156
42,1.169579974853116,0.6936758893280632,0.9971739716418788,0.999991408667079,0.09218296389469163,0.09382919803629633,0.6936758893280632,0.7026835084067321,0.667221815804312,0.000506691250714119,0.0013535514491799512,0.6936758893280632,0.7026835084067321,0.667221815804312,0.000506691250714119,0.0013535514491799512
43,1.2190515555433958,0.7213438735177866,0.9971739716418788,0.999991408667079,0.0761541209576744,0.0776444494931415,0.7213438735177866,0.7336525962085377,0.6923501148999118,0.0008640492654770149,0.0018092966298231684,0.7213438735177866,0.7336525962085377,0.6923501148999118,0.0008640492654770149,0.0018092966298231684
44,1.2685231362336757,0.7549407114624506,0.9971739716418788,0.999991408667079,0.05874883026368264,0.060049844848839865,0.7549407114624506,0.767883423859473,0.7195604404851492,0.0007870545881474586,0.0022717642627445023,0.7549407114624506,0.767883423859473,0.7195604404851492,0.0007870545881474586,0.0022717642627445023
45,1.3179947169239556,0.7608695652173914,0.9971739716418788,0.999991408667079,0.0559116504221574,0.05717925666314231,0.7608695652173914,0.7741250815430046,0.7287549894616298,0.0008192297000168217,0.0020614275094656435,0.7608695652173914,0.7741250815430046,0.7287549894616298,0.0008192297000168217,0.0020614275094656435
46,1.3674662976142355,0.7608695652173914,0.9971739716418788,0.999991408667079,0.0559116504221574,0.05717925666314231,0.7608695652173914,0.7741250815430046,0.7329803079718789,0.0008192297000168217,0.00203363117598006,0.7608695652173914,0.7741250815430046,0.7329803079718789,0.0008192297000168217,0.00203363117598006
