,Standard_beran,Standard_beran_test_mode,True_proba,True_proba_test_mode,Prior_proba,Prior_proba_test_mode,LogisticRegression,LogisticRegression_test_mode,NN_BCE,NN_BCE_test_mode
97,5.381018945175385e-05,5.0068520000020056e-05,4.5936024978005926e-05,5.6601747776279823e-05,4.491481589509514e-05,5.082156143728491e-05,4.953977426494304e-05,5.30743173351225e-05,4.9735505321938255e-05,5.3180391091667754e-05
98,5.795367593705851e-05,6.665187749969996e-05,2.989382405297889e-05,4.230039684937746e-05,2.5072734248337037e-05,3.855308020628898e-05,5.752736826516254e-05,7.228828556732888e-05,6.152778290917387e-05,7.631466655059315e-05
99,2.746893299778853e-05,6.374223907196356e-05,1.5936973311641168e-05,2.8949823756657928e-05,1.6958295539906224e-05,3.667104024720927e-05,2.4909264935599092e-05,4.895227194963044e-05,2.5299885485710488e-05,5.0256929777835366e-05
100,7.246206471604287e-05,8.242868480896997e-05,2.3270360663182336e-05,6.650046923044522e-05,3.032826671474956e-05,7.668904230212466e-05,3.432522127410415e-05,7.263680174229788e-05,3.562238072480594e-05,7.504007206486407e-05
101,6.923352313195973e-05,2.9833600829245308e-05,2.7379984709131177e-05,3.2044216332474314e-05,2.8113813567490042e-05,3.682400887778699e-05,4.5587613156196514e-05,2.7889158479000553e-05,4.7092197609068644e-05,2.7749383552089183e-05
102,9.122199528960525e-05,0.00024089660822922034,3.3568105404177155e-05,4.238918554947878e-05,3.000288878419359e-05,0.0001476248737543078,3.1040944266913095e-05,5.33853950221725e-05,3.199853358237254e-05,5.4612886831467655e-05
103,0.00011401308059990926,0.00022362445777580165,5.232866814199124e-05,0.00018968450604471215,7.456641165502164e-05,0.00017629042615087745,9.086923328051906e-05,0.00015184797647167436,8.638952705060088e-05,0.00015690161514429076
104,0.000382892523776611,4.712721815066843e-05,0.00023012771826750193,4.609533178462952e-05,0.0002468765972870418,4.630270682392131e-05,0.0002249950796798758,2.6650391395932663e-05,0.00022480141978465268,2.6651012522976494e-05
105,5.0303043099213986e-05,5.938943034056504e-05,3.78522895856604e-05,4.6483903183315405e-05,2.8544318812264325e-05,6.234603203006877e-05,2.703328404763791e-05,6.57487341370805e-05,2.9684556050720485e-05,6.211522423568797e-05
106,3.3496689134169725e-05,2.5506538829094305e-05,1.5237815800670414e-05,2.185482958239114e-05,1.980366971996533e-05,2.716064479526255e-05,1.988759059670458e-05,1.8861650627108018e-05,2.0214951190089092e-05,1.8552845789259926e-05
107,2.144178610809413e-05,3.8269222817020316e-05,2.1065856163079034e-05,1.2710440585860183e-05,1.2221665123155395e-05,1.9575407985941266e-05,1.2626884597701824e-05,1.4363064285109479e-05,1.2650302487615137e-05,1.4580326722782878e-05
108,7.170015643682737e-05,8.657535213548921e-05,5.177520850562448e-05,2.731308839680243e-05,5.9664950761120566e-05,3.0150815020559648e-05,5.545538783251196e-05,2.464345954125944e-05,5.631968766992184e-05,2.512993774277716e-05
109,6.731419725376353e-05,4.994172337019428e-05,4.465307959394518e-05,1.6043497185774205e-05,4.1393121026220006e-05,1.851131926509378e-05,6.533387633548558e-05,2.5195834135980785e-05,6.404580912821164e-05,2.495041371703251e-05
110,2.2420170787334123e-05,5.938145081176077e-05,1.876167994983425e-05,6.519668373023704e-05,1.920104132536819e-05,5.712019276212466e-05,1.9405517181751396e-05,6.466906304220893e-05,1.6780894503860175e-05,6.562132532583065e-05
111,4.15080535718261e-05,1.632767195389368e-05,3.7454860576609375e-05,8.165223779123555e-06,3.335629251157234e-05,6.893024322010299e-06,2.970284483747037e-05,6.860168511151929e-06,3.019633051031114e-05,6.595409434011137e-06
112,0.00012012094656991937,7.019303190231798e-05,4.955258286385704e-05,5.885347209603785e-05,7.150960325512897e-05,5.563521462222776e-05,0.00010596444533770122,3.286124628163384e-05,0.00010553529731382986,3.2064433334783085e-05
113,7.300450411068711e-05,5.719811743527732e-05,3.786794323450453e-05,3.203118011482145e-05,3.6031057097770754e-05,2.3670635422934548e-05,5.303921206174838e-05,4.91696714214913e-05,5.448698599315241e-05,5.095902249155116e-05
114,0.0001658813987898739,4.9925007832503594e-05,5.987988812790521e-05,6.387315794526633e-05,7.13565023059401e-05,6.387438445208722e-05,8.205062820585417e-05,8.162814780540103e-05,7.888997147784126e-05,9.123138132780274e-05
115,3.659352067843982e-05,0.00025558178255057757,4.907375577586973e-05,0.00015319273361107214,4.358708257109875e-05,0.00015743738802174203,5.214382064922483e-05,0.00016159804463700687,5.274053271216668e-05,0.0001612859001452897
116,5.7467001531761565e-05,4.062192535329061e-05,6.567686723723778e-05,1.4980075676708197e-05,6.759780863484512e-05,1.840191577960544e-05,4.3472645002529096e-05,1.5522676437120576e-05,4.415762372212326e-05,1.659396610684601e-05
117,3.421832625476319e-05,7.004669980330957e-05,2.5605748055234005e-05,0.00011280361006511102,2.6609195271557752e-05,0.000137950888066726,2.2200137982974453e-05,0.00010389771715472135,2.263738388972886e-05,0.00010508175485646329
118,0.0001273627157491442,3.137145299668694e-05,7.80979570175533e-05,3.2620469453846974e-05,7.807941754305533e-05,3.600151842446265e-05,7.966650724037994e-05,2.81477653624501e-05,7.497935530934903e-05,2.7552544457265435e-05
