,Standard_beran,True_proba,Prior_proba,LogisticRegression,NN_BCE
75,6.62175754286929e-05,0.00011591929439266712,0.00010786113440595035,5.996485541589837e-05,6.05606811171404e-05
76,5.585845938534875e-05,7.147160445244607e-05,6.319546814384659e-05,5.164111992517443e-05,5.497791851557282e-05
77,0.0002688949351047344,0.00025750590181701884,0.0002588730207065645,0.00021643802248342216,0.0002174484029203759
78,9.19042437127869e-05,0.0004026406564373109,0.00043002091072956206,0.0004266077880132521,0.0004338911745354125
79,6.683656550450612e-05,4.4137645813849814e-05,4.8963949536361904e-05,4.051796081520402e-05,3.731344225044653e-05
80,0.00025502833132356594,0.0001837456146848875,0.0001790037736275433,0.00024933869487741195,0.00025665887423341065
81,0.00015631683193492252,0.00012080612102924261,0.00011216009761958456,0.00011185417793382314,0.0001340446160388489
82,0.0001656329288656739,0.00010989507149807477,0.0001299707598157934,0.00012056000729695519,0.00012713195243701204
83,0.0001646042392702828,0.0002871079238173164,0.0002711141168198115,0.00036686713272234174,0.0003623111525983043
84,0.0001587285740521123,0.00015535793139542282,0.00014646813273053622,0.00016000132597667022,0.00016456996728775528
85,6.688979277516384e-05,9.683228221978625e-05,8.366538369887232e-05,7.027756086416662e-05,7.140024245768594e-05
86,3.5783965932875656e-05,3.5892325936946305e-05,3.467433653076133e-05,3.2927917026629794e-05,3.250356163446706e-05
87,6.137495770925775e-05,6.691317039687607e-05,7.182985083256793e-05,6.112164785920807e-05,6.207351554232518e-05
88,4.8950181502460574e-05,3.471836065096501e-05,3.492617050428951e-05,3.662692218867841e-05,3.782457967106544e-05
89,0.00017049234166694453,3.9380155431222146e-05,7.047129643839062e-05,0.0001015242774063888,0.00011601962720905274
90,0.00013835646427584833,0.00011008581836370143,0.00011347375727137616,9.378165189135127e-05,0.00010770992069392806
91,0.0001781963281975932,9.681028052089856e-05,0.00012677840588500803,0.0001572177154041882,0.00016055225888848165
92,0.00011048461808580466,5.53339411422779e-05,6.331714812019205e-05,5.636934747550783e-05,5.9694979768950224e-05
93,5.7049433262537964e-05,3.76361705859608e-05,4.7907933657177945e-05,5.447700914425685e-05,5.1689342053452964e-05
94,5.958263476366162e-05,5.233825891652388e-05,5.196316644615786e-05,5.4824211578204964e-05,5.541790571659809e-05
95,4.1099380260281346e-05,5.057111811400756e-05,4.3602039209447606e-05,4.031884355022587e-05,3.885928922388723e-05
96,0.0004667672942422134,0.00038828696519641823,0.00036762004078606597,0.00036627229508743453,0.00037309628691390204
97,3.548724879465954e-05,7.98290269187416e-05,2.0626148120505667e-05,2.6638265313878202e-05,2.6044667816797535e-05
98,0.0003199579473130446,0.00018887735501061718,0.00021507614980763692,0.00018248591589733969,0.00017282082534524767
99,6.838105819410114e-05,0.00011863736525654374,6.363696166554888e-05,4.982960213860235e-05,4.9687417430816455e-05
