,Standard_beran,True_proba,LogisticRegression,NN_BCE,NN_MSEloss,RandomForest,KNN
77,4.1213078902104095e-05,2.9726241034233378e-05,3.011993035723585e-05,2.9536680764598888e-05,2.8815141532362013e-05,3.0492262859770753e-05,5.3444126278178566e-05
78,0.00024454765848465,0.0001987183073692811,0.0002140776173042352,0.00021677205372293802,0.00021058798481988814,0.00021306379857186571,0.00020928340753540196
79,3.4572524265372685e-05,2.1787782218402308e-05,5.201049813277458e-05,1.952845112354039e-05,1.8853942664923446e-05,2.0653941794750504e-05,7.21202683208006e-05
80,4.204137646222485e-05,0.0001038156065087107,2.9983021102247873e-05,3.431172327389218e-05,3.360944575905022e-05,3.153168578386659e-05,7.793192505671185e-05
81,2.3130385120306072e-05,2.119308942866005e-05,2.155610448191279e-05,2.351530651872973e-05,2.4671516876687743e-05,2.3255168912765895e-05,2.8508713540601542e-05
82,1.9733188474938126e-05,3.9649044810931664e-05,1.805516201502011e-05,1.7791691857672667e-05,1.6426641723069494e-05,1.8087868610285947e-05,3.341041230450964e-05
83,9.859479558148326e-05,6.308806503279232e-05,5.386030702442439e-05,4.97382197641245e-05,4.97479865602327e-05,5.401571689572017e-05,6.102357875023803e-05
84,7.482245485103414e-05,8.843986636897226e-05,0.00010939710694812528,0.00011138499396388101,0.00011715696353500873,0.0001092669611642829,0.00012728310031118517
85,0.00011340109442587668,8.773433047107597e-05,9.268022724161477e-05,9.071356378928148e-05,8.534044486744516e-05,8.408158094014382e-05,0.00011322946123005051
86,2.8026535402710264e-05,2.666200258953647e-05,2.3902097721622155e-05,2.513786551636084e-05,2.5197634473658744e-05,2.3573560832645294e-05,2.6010280970619546e-05
87,3.247289533321479e-05,1.803378632581362e-05,1.810967288124854e-05,2.1706277642093142e-05,2.11862546509065e-05,1.812935664287697e-05,2.3056127123492506e-05
88,6.923991004489001e-05,5.6761294339648264e-05,5.169867051138343e-05,5.2598153067908324e-05,4.990112053170752e-05,5.0273884320007966e-05,6.589781448715275e-05
89,1.6527467939925503e-05,2.418051108783108e-05,1.8947490927081393e-05,1.4878779640712757e-05,1.5228598446466575e-05,1.600315743387046e-05,1.7684361554588076e-05
90,3.7805074155888225e-05,1.3066927075739825e-05,1.7933663336744e-05,2.2087787109883748e-05,1.9359225008184674e-05,1.2943148058846724e-05,3.873541643991876e-05
91,0.00027425363477689486,0.00010542524586750038,0.00012348405559802853,0.00011900342388573142,0.00011523346817045401,0.00012177980568071573,0.000268748392400498
92,2.2731528718234446e-05,1.0443307436970165e-05,8.92165893236476e-06,9.425335700942974e-06,9.576721224561728e-06,8.693081625779045e-06,1.1334477690209517e-05
93,5.938718827855533e-05,4.265700389939226e-05,3.647224737583422e-05,3.837903109121716e-05,3.816393629336622e-05,3.826236534882633e-05,4.257341576612767e-05
94,1.608182467339662e-05,2.599309419900809e-05,1.6061505150778653e-05,1.4638060653681057e-05,1.5123346935083307e-05,1.5374954422904728e-05,6.90068616952067e-05
95,6.971106299547232e-05,1.659821630767723e-05,2.7034118082965585e-05,3.0011564367720168e-05,2.942690949669829e-05,2.5300796047404554e-05,7.135436648274595e-05
96,4.3098947251655776e-05,4.1600544190876025e-05,4.3619261267879913e-05,3.7949750987038065e-05,3.7225178177684626e-05,4.251836177680917e-05,7.209396980514984e-05
97,5.544490007821097e-05,4.0602845808565834e-05,4.439542836840854e-05,3.7004983964220575e-05,3.6532773564585945e-05,4.265048292702132e-05,0.0002051765501196683
98,2.1133350948635467e-05,1.867563260437506e-05,2.95629914068362e-05,1.7479399963985668e-05,1.834848914978879e-05,2.1968309535910894e-05,2.9133370621969428e-05
99,2.735298319749228e-05,3.017998498489948e-05,3.1758174466873724e-05,2.040543903991678e-05,2.5561298126901687e-05,3.133608484738377e-05,2.4945134947619583e-05
