,t,true_cdf_0.3,Standard_beran_cdf_0.3,NN_BCE_cdf_0.3,Standard_beran_mise_0.3,NN_BCE_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,NN_BCE_cdf_0.5,Standard_beran_mise_0.5,NN_BCE_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,NN_BCE_cdf_0.7,Standard_beran_mise_0.7,NN_BCE_mise_0.7
31,0.29928075317870817,0.09183474816583509,0.0813536453384425,0.08467578284487631,0.0003895478921565185,0.00042082640165796406,0.03291713575649851,0.03710470502628309,0.035401989935530176,8.174182873541202e-05,0.00010292792000405717,0.007955750115340585,0.012940296340378587,0.010502384514465809,6.534633411583697e-05,4.02396007511043e-05
32,0.328814665854649,0.10914370831575465,0.09625266717337116,0.10000137139135878,0.000501558498884843,0.0005384084352591298,0.04083267272426099,0.044929099035454785,0.04246097432694749,9.862955916945574e-05,0.0001258299141895258,0.010375269851374772,0.016224815862773835,0.013926363477655919,8.402423224354306e-05,5.270130305828616e-05
33,0.3583485785305899,0.1286809658741146,0.11326767628622812,0.11711354464862893,0.0006420222151136607,0.0006740843017650593,0.05022689259119806,0.054528817919380926,0.051298708601873126,0.00011570787333129444,0.00014569334110673936,0.013412791560647074,0.02082326259540261,0.0183131422225197,0.00011364438576655918,7.372522151360363e-05
34,0.38788249120653073,0.15052086230749767,0.13250765132007866,0.13634373870201946,0.0007891759813641264,0.0007946934873624973,0.06126857892802873,0.06609696005191623,0.062030640328960024,0.00014935578684449342,0.00017738970607557715,0.017189417354261674,0.02605965143653486,0.02307702061291613,0.00016169148889730902,9.771290697029921e-05
35,0.4174164038824716,0.1746995038491403,0.15468990231707158,0.1588515241419369,0.0009244904664304644,0.0009167032973552192,0.07412157688520916,0.07913715082792169,0.07419699284449281,0.00018452721110124044,0.00021084765537330438,0.02183973761327455,0.03228050643530593,0.0282172062908803,0.000212673817384781,0.00011555567908929981
36,0.44695031655841244,0.20120937204947892,0.17820449903974345,0.18249909365337874,0.0011107927975411596,0.0010777294429465318,0.08893883406032177,0.09432693127944412,0.08807097868667459,0.0002325035673857351,0.0002500645115030852,0.02751069149286503,0.03959315333422767,0.03403611745972954,0.00027899249925745546,0.00013901279053461915
37,0.4764842292343533,0.22999512477403417,0.20596605547182453,0.21117365101789637,0.0012862526569661825,0.0012292059204184725,0.10585591967078956,0.11183606174447343,0.10419574717071098,0.0002883197703474447,0.00029035245295891377,0.034359637027387924,0.04838502030499587,0.04071471930427375,0.00037447594555256635,0.00015925386959128411
38,0.5060181419102942,0.26095091981497726,0.23627510243808927,0.24232439756851426,0.0013954955284687601,0.0013003068189336234,0.12498427470553786,0.131492354162135,0.12255343611022866,0.00032690072913791945,0.00030700604782345057,0.04255155613894469,0.05843661222924549,0.0487330983196838,0.00045566644751013054,0.00017608122639233768
39,0.535552054586235,0.29391953346400657,0.2671665688090993,0.2745621041989412,0.0014721393987223994,0.001270700909092328,0.14640450076045491,0.1528354910972266,0.14267753395539257,0.00039398811598039836,0.0003857641006051389,0.052255358538128995,0.07068253051107314,0.05874552934751973,0.0006043575418308255,0.00022476448896889363
40,0.5650859672621759,0.32869346210232464,0.2998691902622091,0.30946658216350253,0.0015868919135325994,0.0013189809955756167,0.17016003626640308,0.17622977568606513,0.1651820882167766,0.0004456392514993116,0.00047631842773487474,0.06363929806284305,0.08445590351652905,0.070148294908722,0.0007778310837492205,0.0002898965389848239
41,0.5946198799381165,0.36501809072404756,0.3336531130594136,0.34429519565450717,0.001868863281658802,0.0015107678030070756,0.19625159047169566,0.2023358812825443,0.19082577760715186,0.0004902181665456781,0.0005251631913259509,0.07686557350629897,0.1005460195655258,0.0836446201766197,0.0009700432570675631,0.00036293571395063645
42,0.6241537926140573,0.40259689508868945,0.36915782110488843,0.3812641072191545,0.002061543971110712,0.0016014143722296067,0.2246327035713812,0.23046408951082917,0.21885458375924338,0.0005316694134783137,0.000578547651759314,0.09208425028743433,0.11739836665446253,0.09898133449897722,0.0011209520311361396,0.00046893874644435393
43,0.6536877052899982,0.44109852229571467,0.4062524460881736,0.4186265795912847,0.0021877710708110066,0.0016619301914199442,0.25520677313151396,0.2607429190774853,0.24819494524172703,0.0005699004243689561,0.0006565393516924911,0.10942670512674774,0.1382582878277834,0.11778496779903667,0.0014311663540980508,0.0006286720289147583
